Timestamp,Machine_ID,Power_Consumption (kW),Production_Rate (units/hr),Temperature (°C),Humidity (%),Maintenance_Status,Energy_Efficiency (%)
2025-04-01 10:00:00,M004,21.767887282733447,260,29.662880928753793,48.91585811021155,Normal,76.81218195022252
2025-04-01 10:01:00,M004,15.514637563037287,297,21.982772312397227,52.205069331691874,Normal,86.47228688067155
2025-04-01 10:02:00,M005,22.353325841571685,191,20.73827225155258,51.70645252662788,Normal,81.13152259019293
2025-04-01 10:03:00,M001,14.808579612660687,252,24.15284994047196,47.540528036366055,Normal,77.82029468319593
2025-04-01 10:04:00,M002,14.253877920828337,234,20.482470898476492,58.566705802622806,Normal,79.3356103807387
2025-04-01 10:05:00,M004,15.439979896183324,297,23.10600235139324,53.79631379278941,Normal,83.12729595458288
2025-04-01 10:06:00,M004,18.139471444923345,239,23.891301166464956,44.91823082564052,Warning,76.41701744605099
2025-04-01 10:07:00,M001,11.24475101061985,209,20.213725905108,52.52621846395165,Normal,91.46492973514754
2025-04-01 10:08:00,M002,22.085849440523084,252,20.37410036903658,45.03627090123171,Normal,85.21021089881721
2025-04-01 10:09:00,M001,20.945419485760986,228,22.720842339049003,44.81090530024861,Warning,90.42872231049719
2025-04-01 10:10:00,M005,12.141331734059198,265,25.109777769328907,40.728901241817844,Normal,94.68271447804314
2025-04-01 10:11:00,M001,18.81096825931848,196,25.998237164812995,41.40390012052414,Fault,82.47822976915475
2025-04-01 10:12:00,M002,14.405801849387654,213,20.702097424876573,49.1620171234776,Warning,77.09453664139275
2025-04-01 10:13:00,M002,11.08862829602114,225,25.044936819478217,55.74825594911743,Normal,76.7759081870391
2025-04-01 10:14:00,M001,18.510232973508074,275,28.976493165109275,44.27665369103496,Normal,86.85825420466327
2025-04-01 10:15:00,M005,11.344074896262159,272,21.946964094409324,40.9316448386904,Normal,86.44565082072161
2025-04-01 10:16:00,M001,14.414256058500449,222,23.51249230159984,58.871084408269596,Normal,84.27939431355053
2025-04-01 10:17:00,M001,20.720365565337353,197,23.45999584709611,41.216823419789854,Normal,86.76422159906474
2025-04-01 10:18:00,M005,11.802372087691888,220,28.44855986601927,59.51964463875022,Warning,78.35863184766734
2025-04-01 10:19:00,M005,20.772855726422442,291,21.917508908204706,56.580280170700085,Normal,81.55845416848457
2025-04-01 10:20:00,M001,10.765771466808992,239,24.70597978989601,51.77732605848356,Normal,83.15735314580945
2025-04-01 10:21:00,M005,22.666722019190225,203,24.874582580272076,51.858126675270086,Normal,91.37403902977736
2025-04-01 10:22:00,M003,18.97115514890428,238,29.340765793637374,43.910775688156114,Normal,87.71601071387232
2025-04-01 10:23:00,M002,15.939555890880259,188,20.460139325674405,53.3998238017993,Normal,91.55957320112883
2025-04-01 10:24:00,M003,20.29174685814326,203,23.659147407296444,57.842990620924795,Normal,90.89242537220295
2025-04-01 10:25:00,M002,21.013785304660985,280,28.935236213925656,49.882475831678406,Normal,80.08156605077392
2025-04-01 10:26:00,M001,10.025314919568867,254,24.083307762418023,51.305549521130175,Normal,87.68795795468878
